Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,Final?,FetchDate,Ticker
2026-03-19 03:00:00,18.2600002289,18.7399997711,18.0699996948,18.6399993896,33436700,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-20 03:00:00,18.6399993896,18.7099990845,18.1200008392,18.3299999237,53625700,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-23 03:00:00,18.75,19.2800006866,18.75,19.0,30955400,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-24 03:00:00,18.8400001526,18.9400005341,18.6200008392,18.9400005341,23064400,0.0,0,False,True,1774560927945,BBDC4.SA
2026-03-25 03:00:00,19.2999992371,19.4599990845,19.1499996185,19.2800006866,29470000,0.0,0,False,False,1774560927945,BBDC4.SA
2026-03-26 03:00:00,19.0400009155,19.2000007629,18.7999992371,18.8199996948,50756200,0.0,0,False,False,1774560927945,BBDC4.SA
2026-02-25 03:00:00,51.018617996,51.3079833587,49.8511647785,50.1704673767,10719400,0.0,0,False,True,1774560930678,WEGE3.SA
2026-02-26 03:00:00,49.7912980955,49.8811021895,48.0051965634,49.2724304199,9902400,0.0,0,False,True,1774560930678,WEGE3.SA
2026-02-27 03:00:00,49.2125587686,49.6915126581,48.6038870113,49.5917320251,7316400,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-02 03:00:00,49.1926027372,49.1926027372,48.3244990353,48.5839309692,5402000,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-03 03:00:00,47.117137108,48.0750449292,45.9496838582,47.2967453003,13648400,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-04 03:00:00,47.8954357155,48.1149576806,46.7180059497,47.2368736267,6449100,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-05 03:00:00,46.9973956631,47.3665923944,46.3787473392,46.6082458496,7897500,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-06 03:00:00,46.4984833585,47.2468495315,46.0794001287,46.5184402466,5517900,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-09 03:00:00,46.4386171072,47.1370929724,45.7700746713,46.4785308838,5742300,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-10 03:00:00,46.917572319,47.8455467161,46.0993589075,47.0872001648,5655000,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-11 03:00:00,46.8976153342,47.4763536909,46.4984851705,46.7778778076,3420400,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-12 03:00:00,46.6282018084,46.6980490143,44.9817984912,45.7201843262,7215300,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-13 03:00:00,46.3987022022,46.7878519987,45.8099873338,46.1093330383,4406200,0.0,0,False,True,1774560930678,WEGE3.SA
